fy,month,acwi_exUS,IWV,VBTIX
2001,1,,,
2002,1,-0.243098114174237,-0.165005533563352,0.0747968628559315
2003,1,-0.142617253094857,-0.223436879063121,0.0659868885486177
2004,1,0.482912017004479,0.370791040858813,0.045333637951011
2005,1,0.169454910312065,0.0657704716513281,0.0417620425994145
2006,1,0.269376570393003,0.123908446223013,0.0177446630185059
2007,1,0.188389704259545,0.142672704461414,0.0446712702589935
2008,1,0.0496961818150163,-0.0344902311475453,0.0907898547244981
2009,1,-0.450102283407973,-0.387507894285637,0.0264285105783908
2010,1,0.475779207721697,0.347182443095542,0.0854407121269407
2011,1,0.180139118823281,0.239428459463007,0.0472994504460853
2012,1,-0.0875119788479525,0.0368997362105248,0.0859051978450756
2013,1,0.138558675970974,0.167586375512527,0.0256170634807702
2014,1,0.0574892756329044,0.222051914551665,0.000951186126903592
2015,1,0.00561189637959103,0.129473522350703,0.0672347491656877
2016,1,-0.119486043327864,-0.0275975289069542,-0.00446809505441204
2017,1,0.160939048489416,0.216210485459224,0.0145645491385566
2018,1,0.296813899637583,0.249787203970358,0.0214237961002306
2019,1,-0.12580755783474,-0.0245981950777325,0.0212111172704006
2020,1,0.0994003066101541,0.202953605950342,0.0993164282505459
2021,1,0.139538603506614,0.201253427420388,0.046750853744965
2001,2,,,
2002,2,-0.172136322294152,-0.0886515502389674,0.0741638435591683
2003,2,-0.16608933926171,-0.222191484954866,0.0670447838894228
2004,2,0.552078489723798,0.41436137563732,0.0461348646345166
2005,2,0.19662062973726,0.0740697926288227,0.0246859441938456
2006,2,0.206307479178142,0.102406549153667,0.0280217256384274
2007,2,0.199146298435803,0.119287523005643,0.0564101934412653
2008,2,0.0733789872672832,-0.0452483473572312,0.075653357578638
2009,2,-0.515307548427321,-0.436219797281741,0.0210175570035309
2010,2,0.627691898245692,0.555885818305822,0.0922812384520202
2011,2,0.211217996757096,0.243160879256912,0.0469808664852631
2012,2,-0.0609837725342407,0.0417552117126823,0.0835602384148588
2013,2,0.0665915911418866,0.133033812443992,0.0316842335639145
2014,2,0.122486802201505,0.266018904513967,0.000260426906963041
2015,2,0.00870565867814088,0.139448254950902,0.0506941587487038
2016,2,-0.173726501661624,-0.079591065577172,0.0130445275759481
2017,2,0.193084611459615,0.261218752522805,0.0145392348753295
2018,2,0.216276729559749,0.16056082287908,0.00433800895469449
2019,2,-0.0646244854903098,0.0484316773860738,0.0311217992709183
2020,2,-0.00690362783210163,0.0660804055821971,0.118809792868469
2021,2,0.261836901920268,0.350751709739895,0.0136428573397265
2001,3,,,
2002,3,-0.0607439492206849,0.0157216522063228,0.0527391370847401
2003,3,-0.224605685971497,-0.244258389603948,0.0815180631692041
2004,3,0.593046614257921,0.382911657750814,0.0557704804898709
2005,3,0.157058601584685,0.069448157440654,0.0116123159479464
2006,3,0.275889884323619,0.142120264889319,0.0227563313226291
2007,3,0.198073741273322,0.109590369120083,0.0672829242910147
2008,3,0.0215121370668943,-0.0624536806776289,0.078689367487204
2009,3,-0.46464135763118,-0.384434351661836,0.0330217394589274
2010,3,0.609253100106759,0.527014487260311,0.0755032159796336
2011,3,0.131462616494543,0.172596756937156,0.0477734586091241
2012,3,-0.0717628089482231,0.0701681332270374,0.077266484663991
2013,3,0.0836273967943539,0.145112866449688,0.0385535208868109
2014,3,0.123122365707111,0.222730427183564,-0.002042459024171
2015,3,-0.0101405807877915,0.121537268316876,0.0565827824693037
2016,3,-0.0918624055336248,-0.00408132624424218,0.0184149181863631
2017,3,0.131344029312164,0.178769639445774,0.0043158959867462
2018,3,0.165278793261658,0.136440242887428,0.0114224592915513
2019,3,-0.0421567265055522,0.085147843376896,0.0446646567499167
2020,3,-0.1557284797327,-0.0924792335596978,0.0909486082292199
2021,3,0.494131369833054,0.622077935863564,0.00556723764549671
2001,4,,,
2002,4,-0.114848749743689,-0.111804370641628,0.0745576528541629
2003,4,-0.155683439203112,-0.140811822060137,0.0737250436657
2004,4,0.408086642599278,0.252989613453622,0.0193730548659521
2005,4,0.164434416982874,0.0680977715807076,0.0527860267697295
2006,4,0.376162544916508,0.181170595514286,0.00705385198641473
2007,4,0.192224248824038,0.141133753360839,0.0749055610682083
2008,4,0.0358954538866612,-0.0536441966175105,0.0689273021535899
2009,4,-0.426406118832198,-0.348296210620239,0.0408537274051146
2010,4,0.40379976691872,0.404885969615419,0.0797790352133589
2011,4,0.197273920766082,0.182861845050486,0.0536194204624194
2012,4,-0.12895475215274,0.032219497974691,0.0753866781088575
2013,4,0.141455467723124,0.168968503401735,0.0362440202674013
2014,4,0.0976083125195975,0.206682521708395,-0.00343548897442958
2015,4,0.0263115121485109,0.125048215910854,0.0446155648923978
2016,4,-0.112784408578929,-0.006746182341137,0.0259839965433391
2017,4,0.125931735814356,0.188149851365945,0.00814402381741197
2018,4,0.159076824036397,0.128459644932239,-0.00448919997002262
2019,4,-0.032304994964002,0.124125673868092,0.0538716606146115
2020,4,-0.115124491902565,-0.0127615699129287,0.108882211728582
2021,4,0.429767027605268,0.510470097011168,-0.00176111845150229
2000,5,,,
2001,5,,-0.104885854034521,0.135306386794324
2002,5,-0.0798253992936003,-0.130310312044674,0.0741197712524391
2003,5,-0.111591246514659,-0.0768387550391242,0.0856575602452461
2004,5,0.327857938642972,0.197666109236509,-0.00310895898500141
2005,5,0.167957598763979,0.0936212622519472,0.0684711444976089
2006,5,0.304385534569156,0.0994529113590321,-0.00441250508963253
2007,5,0.283861565016488,0.223209385902986,0.0675199418592001
2008,5,0.0255129264796661,-0.0694031484357499,0.0699155544999957
2009,5,-0.358905297523401,-0.325230865545968,0.0569984657905776
2010,5,0.106288342337898,0.227805603222782,0.0800062202088405
2011,5,0.299500125867587,0.267279647043909,0.0581000644821847
2012,5,-0.204935907370099,-0.0191891060328584,0.0716255188569943
2013,5,0.257892501862178,0.274986642106622,0.00896527916907841
2014,5,0.145443980187609,0.202900432848956,0.0245173053831136
2015,5,-0.00897688620902903,0.116871706912454,0.0291119576449783
2016,5,-0.113924667752221,0.000580949117439999,0.0308011007405589
2017,5,0.182426409903714,0.174896495088281,0.0147134540677967
2018,5,0.0967213572445626,0.148738538491597,-0.00513237722137905
2019,5,-0.0625986456901381,0.0233893580844782,0.0667058817694199
2020,5,-0.0343354244177099,0.111059585377343,0.0948132190190742
2021,5,0.427762570775057,0.438440122617916,-0.00472501580909013
2000,6,,,
2001,6,,-0.128621530136736,0.117295605470442
2002,6,-0.0844396686193628,-0.181739466122194,0.0715339361498286
2003,6,-0.045949595527455,0.00857632587865598,0.0811365367874912
2004,6,0.320299478822191,0.208117658358354,0.00377136025319658
2005,6,0.164659559972749,0.078019766410292,0.0684394351006397
2006,6,0.279000748406411,0.0940721788973222,-0.00887209192779837
2007,6,0.296186440677966,0.199807119519821,0.0623352212182369
2008,6,-0.0663875008432053,-0.128307839227617,0.0739105744908641
2009,6,-0.309187819233783,-0.264592376332427,0.0628225138441094
2010,6,0.104253658693571,0.154428476716478,0.0915580235162892
2011,6,0.297294737378963,0.321495060620281,0.0372845996426356
2012,6,-0.145651624498048,0.0373201606531752,0.076103047104918
2013,6,0.136325688103549,0.218076449544568,-0.00809061658723531
2014,6,0.217518324183294,0.242753323616344,0.0429203738280792
2015,6,-0.0525708095163429,0.0709366108959926,0.0176433744279882
2016,6,-0.102439880638933,0.0208864496170531,0.0614203518763177
2017,6,0.204527040995927,0.18256446857125,-0.00437270941933055
2018,6,0.0727781308419886,0.145943419077955,-0.00502607764526908
2019,6,0.0128858178170213,0.0867490015639849,0.0787034463290366
2020,6,-0.0480187156871953,0.0632981670729811,0.0899030697354568
2021,6,0.357175529386441,0.43963897793647,-0.00400492632407068
2000,7,,,
2001,7,,-0.13747753064734,0.13221810353223
2002,7,-0.154861661013344,-0.234168952442824,0.0532274900107042
2003,7,0.0851792806399285,0.12346144650515,0.0399676960174729
2004,7,0.248521243830462,0.136607372949279,0.0484463635304859
2005,7,0.243941208042608,0.16518935266644,0.0477558820565547
2006,7,0.246054531273337,0.05093355802962,0.0145400232243917
2007,7,0.279419598859974,0.160044411570916,0.0569805520556355
2008,7,-0.097271161122764,-0.106047104939374,0.0650265799422316
2009,7,-0.213313807338392,-0.202296705346799,0.0780747904721961
2010,7,0.0967342391861983,0.146363890492282,0.0862378633254037
2011,7,0.17361087908049,0.205618492459785,0.0438464699610006
2012,7,-0.121594306049822,0.0735615905998803,0.0740329146492191
2013,7,0.169566344720296,0.268086871098038,-0.0197356965775705
2014,7,0.154858697881161,0.159534591291862,0.038271306458741
2015,7,-0.0457311513173682,0.112364316661117,0.0279032013155838
2016,7,-0.0554261947988595,0.0423501445804106,0.0602012358409734
2017,7,0.190070280055372,0.159657939963233,-0.0068510104061934
2018,7,0.0593864503688724,0.16184741796705,-0.00850423591403604
2019,7,-0.022745604810953,0.0685045737441143,0.0807519802856065
2020,7,0.00660740599895426,0.1070548684265,0.10426425709229
2021,7,0.277840265137205,0.38434197264781,-0.00732761313029806
2000,8,,,
2001,8,,-0.24605438433454,0.128900555450276
2002,8,-0.133287267701931,-0.176651862830602,0.0589806498989212
2003,8,0.117503077095222,0.135634802004099,0.0292379098272393
2004,8,0.222010838955155,0.116411814300202,0.0623154015000877
2005,8,0.265570748194807,0.153311185732851,0.0417690269450346
2006,8,0.249401120067334,0.0851256725378553,0.0173592409498959
2007,8,0.225092466041806,0.145755251158262,0.0538403852113738
2008,8,-0.125859853752161,-0.101413582207436,0.0583187497666498
2009,8,-0.144144634572695,-0.186876761585912,0.0815079262853511
2010,8,0.0285379091988465,0.054812439494484,0.0912097236625473
2011,8,0.103350419833166,0.190139602985893,0.0436672496073165
2012,8,-0.0191748404172504,0.168223215450786,0.0588748494284834
2013,8,0.129806471275461,0.201139915031959,-0.0263335764380009
2014,8,0.177503652916714,0.245853975651247,0.0567570730738494
2015,8,-0.123527025414628,0.00159729446838464,0.0127203015928401
2016,8,0.0292142907706801,0.112352115531429,0.0622359542432074
2017,8,0.188775078303564,0.158928167037035,0.00333297109154551
2018,8,0.0318174535355693,0.200447213017382,-0.0117861608949746
2019,8,-0.0326824449936809,0.0111185333022716,0.105074991234355
2020,8,0.0831490234549186,0.211535448403642,0.0634246331174619
2021,8,0.248679535789417,0.328856719241549,0.000875990375619029
2000,9,,,
2001,9,,-0.284237707145179,0.130387908960447
2002,9,-0.13319135660124,-0.194859859866648,0.0656586717467536
2003,9,0.285061500422522,0.262903323266515,0.0411203239030393
2004,9,0.227002606005992,0.142704316320844,0.0360305567663051
2005,9,0.289333955279429,0.1473992543312,0.0285996902501788
